,similares_disponiveis,ranking,count
0,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Barato | R: 3.0 - F: Mais Barato,3.0,6
1,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Barato | R: 3.0 - F: Mais Barato,2.0,3
2,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Barato | R: 3.0 - F: Mais Barato,1.0,2
3,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Barato | R: 3.0 - F: Mais Caro,3.0,12
4,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Barato | R: 3.0 - F: Mais Caro,2.0,2
5,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Barato | R: 3.0 - F: Mais Caro,1.0,1
6,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Barato,2.0,3
7,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Barato,1.0,1
8,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Caro,2.0,34
9,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Caro,3.0,24
10,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Caro,1.0,11
11,R: 1.0 - F: Mais Caro | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Barato,2.0,45
12,R: 1.0 - F: Mais Caro | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Barato,3.0,3
13,R: 1.0 - F: Mais Caro | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Barato,1.0,2
14,R: 1.0 - F: Mais Caro | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Caro,1.0,17
15,R: 1.0 - F: Mais Caro | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Caro,2.0,6
16,R: 1.0 - F: Mais Caro | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Caro,3.0,5
