,similares_disponiveis,ranking,diff_vlr_final
0,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Barato | R: 3.0 - F: Mais Barato,1.0,-50.42
1,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Barato | R: 3.0 - F: Mais Barato,2.0,-63.53
2,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Barato | R: 3.0 - F: Mais Barato,3.0,-59.12
3,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Barato | R: 3.0 - F: Mais Caro,1.0,-28.66
4,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Barato | R: 3.0 - F: Mais Caro,2.0,-30.35
5,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Barato | R: 3.0 - F: Mais Caro,3.0,54.63
6,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Barato,1.0,-24.11
7,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Barato,2.0,37.44
8,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Barato,3.0,-6.11
9,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Caro,1.0,-7.33
10,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Caro,2.0,71.4
11,R: 1.0 - F: Mais Barato | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Caro,3.0,26.43
12,R: 1.0 - F: Mais Caro | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Barato,1.0,56.45
13,R: 1.0 - F: Mais Caro | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Barato,2.0,22.83
14,R: 1.0 - F: Mais Caro | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Barato,3.0,-32.27
15,R: 1.0 - F: Mais Caro | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Caro,1.0,45.81
16,R: 1.0 - F: Mais Caro | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Caro,2.0,94.67
17,R: 1.0 - F: Mais Caro | R: 2.0 - F: Mais Caro | R: 3.0 - F: Mais Caro,3.0,28.65
